Club,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
Arsenal,56,71,51,63,68,78,78,73,70,87,78,90,83,67,68,83,72,75,68,70,73,79,75,71,75,63,70,56,61,69
Liverpool,59,60,74,71,68,65,54,67,69,80,64,60,58,82,68,76,86,63,58,52,61,84,62,60,76,75,97,99,69,92
Manchester United,84,92,88,82,75,77,79,91,80,77,83,75,77,83,89,87,90,85,80,89,89,64,70,66,69,81,66,66,74,58
Tottenham Hotspur,59,45,62,61,46,44,47,53,49,50,50,45,52,65,60,46,51,70,62,69,72,69,64,70,86,77,71,59,62,71
Chelsea,56,51,54,50,59,63,75,65,61,64,67,79,95,91,83,85,83,86,71,64,75,82,87,50,93,70,72,66,67,74
Manchester City,57,45,49,38,N/A,N/A,N/A,N/A,34,N/A,51,41,52,43,42,55,50,67,71,89,78,86,79,66,78,100,98,81,86,93
